variable,importance_mean,importance_std
site_elev,0.030521355557175948,0.00796429575713163
discharge_specific,0.0181040499830226,0.0031873555238650588
overland,0.002221514860377947,0.001551173782693879
overland_drain,-0.004856611455489879,0.0023704815610746787
sz,-0.0037242495243860895,0.0038976587919189367
sz_drain,0.014630732401096353,0.008084197656009755
airt,0.03591279064262538,0.008830321076862054
precip,0.03454336643205968,0.010568932298015763
catchment_area,0.017336929390694047,0.005956917984819421
mean.phraetic,0.034780290451181875,0.012171720679509704
mean.dhym,0.01965864731077673,0.006244974448025476
mean.dhym_slope,0.08156648941437951,0.015186777825011636
mean.dhym_hand,0.06607875708199026,0.012400964571868019
mean.clay_a,0.010998353357702322,0.011243129661817623
mean.clay_b,0.015441550899163232,0.005362791910690709
mean.clay_c,0.019930044597637295,0.005516146111100239
mean.clay_d,0.010795568791034951,0.00531102454803516
mean.artificial,0.012151037407545409,0.007235378858700907
mean.agriculture,0.022770507987536454,0.0036903416890434674
mean.forest,0.017463147432632574,0.007836323479589406
mean.nature_eks_agriculture,0.019520337896666566,0.0062046442643180575
mean.stream,-0.004815881672927933,0.004268595528783787
mean.lake,0.03187994617736939,0.004262053299676971
mean.artificial_200m,0.031923553066011086,0.017564784313174542
mean.agriculture_200m,0.020845120408320712,0.007168433243819887
mean.forest_200m,0.010702504897197032,0.006807112226889752
mean.nature_eks_agriculture_200m,-0.01028588992877049,0.006156839871893715
mean.stream_200m,-0.002474718476537885,0.001433165981797847
mean.lake_200m,-0.0023824523090047746,0.001590689612588301
autumn,0.01536766672075477,0.004230060857692239
spring,0.018372372346138234,0.007025586928566203
summer,0.011654118491064108,0.007320230018674289
winter,0.02314576874994839,0.007352218599868418
